age,country,education,work_experience,language_score,financial_status,previous_visas,travel_history,visa_type,purpose,marital_status,dependents,application_complete,job_offer,sponsor,processing_time_days,visa_status,age_group,experience_level,language_proficiency,high_financial_status,total_experience_score,application_strength,has_support,has_dependents,processing_speed,age_experience_ratio
23,Nigeria,Master,2,6.5,74754,2,5,Tourist,Tourism,Married,0,1,0,0,44,Approved,18-25,Entry,Low,1,6,0.1593210241024672,0,0,Normal,7.666666666666667
28,Slovakia,High School,1,5.5,19075,1,1,Student,Education,Divorced,0,0,0,0,71,Rejected,26-35,Entry,Low,0,3,0.05893209451501259,0,0,Slow,14.0
58,Argentina,Master,2,7.8,52874,0,7,Tourist,Tourism,Divorced,1,0,0,0,47,Approved,55+,Entry,Low,0,2,0.13037063749485517,0,1,Normal,19.333333333333332
46,Ghana,Bachelor,5,6.9,70108,0,3,Tourist,Tourism,Married,0,1,0,0,18,Approved,46-55,Mid,Low,1,5,0.19492488215392345,0,0,Fast,7.666666666666667
20,Thailand,Bachelor,0,7.0,65525,4,6,Business,Business,Married,1,1,1,1,47,Approved,18-25,Entry,Low,1,8,0.11937850011260416,0,1,Normal,20.0
22,UAE,Bachelor,0,7.5,60447,0,3,Business,Business,Married,2,1,1,1,58,Rejected,18-25,Entry,Low,1,0,0.11325444786427447,0,1,Normal,22.0
66,Netherlands,PhD,5,7.2,175668,0,7,Student,Education,Widowed,1,1,0,0,79,Rejected,55+,Mid,Low,1,5,0.35431148225902065,0,1,Slow,11.0
41,South Korea,Master,16,7.5,85017,0,7,Tourist,Tourism,Single,0,1,0,1,32,Approved,36-45,Expert,Low,1,16,0.3708332254749436,0,0,Normal,2.411764705882353
67,Algeria,Master,8,7.5,110316,3,3,Work,Employment,Single,0,1,1,0,44,Approved,55+,Senior,Low,1,14,0.29847203275098433,0,0,Normal,7.444444444444445
49,Kuwait,High School,4,6.7,28893,0,3,Work,Employment,Married,0,1,1,1,79,Rejected,46-55,Mid,Low,0,4,0.11865203994729606,0,0,Slow,9.8
22,Nepal,Master,2,7.3,79734,3,4,Student,Education,Single,0,1,0,0,43,Approved,18-25,Entry,Low,1,8,0.16919794024990356,0,0,Normal,7.333333333333333
43,Saudi Arabia,Master,2,6.8,56896,1,6,Work,Employment,Married,0,1,0,1,34,Rejected,36-45,Entry,Low,0,4,0.13340922318662002,0,0,Normal,14.333333333333334
46,Lebanon,Bachelor,4,6.2,47932,3,7,Work,Employment,Single,0,1,1,1,39,Approved,46-55,Mid,Low,0,10,0.1457369810177863,0,0,Normal,9.2
56,Taiwan,Bachelor,9,7.2,52580,3,4,Work,Employment,Married,3,1,0,1,20,Approved,55+,Senior,Low,0,15,0.22468095333010624,0,1,Fast,5.6
33,China,High School,2,6.6,11833,2,2,Student,Education,Married,0,1,0,1,75,Rejected,26-35,Entry,Low,0,6,0.06515214038502856,0,0,Slow,11.0
60,Italy,Bachelor,13,6.0,47122,1,3,Work,Employment,Single,0,1,1,1,56,Approved,55+,Expert,Low,0,15,0.26805878713672215,0,0,Normal,4.285714285714286
21,Bulgaria,Master,2,8.3,73496,4,16,Work,Employment,Married,3,1,0,1,61,Rejected,18-25,Entry,Low,1,10,0.16283227701140796,0,1,Slow,7.0
66,Iran,Master,13,7.4,111180,0,2,Work,Employment,Married,3,1,1,1,28,Approved,55+,Expert,Low,1,13,0.3684347499022803,0,1,Fast,4.714285714285714
53,Indonesia,PhD,13,7.8,111934,3,5,Student,Education,Married,0,1,0,0,35,Approved,46-55,Expert,Low,1,19,0.37076679704588816,0,0,Normal,3.7857142857142856
40,Sri Lanka,Master,11,8.4,49348,2,8,Student,Education,Single,0,1,0,1,71,Approved,36-45,Expert,Low,0,15,0.25101467167474745,0,0,Slow,3.3333333333333335
55,Bangladesh,Bachelor,8,7.6,39065,1,5,Student,Education,Single,0,1,0,0,64,Rejected,46-55,Senior,Low,0,10,0.19179658045761294,0,0,Slow,6.111111111111111
24,Portugal,Master,2,6.7,112124,3,8,Tourist,Tourism,Single,0,1,0,0,61,Approved,18-25,Entry,Low,1,8,0.21602792298393256,0,0,Slow,8.0
67,Bulgaria,Master,10,8.0,79298,4,15,Family,Family Reunion,Married,0,0,0,1,20,Approved,55+,Senior,Low,1,18,0.28098816232601365,0,0,Fast,6.090909090909091
61,Portugal,PhD,25,7.1,153396,2,6,Work,Employment,Single,0,1,1,0,38,Approved,55+,Expert,Low,1,29,0.5964346202133526,0,0,Normal,2.3461538461538463
18,Switzerland,Master,2,6.6,118859,1,6,Student,Education,Divorced,1,1,0,1,43,Approved,18-25,Entry,Low,1,4,0.22583977644838718,0,1,Normal,6.0
58,Qatar,Bachelor,8,6.6,77043,4,15,Work,Employment,Single,0,1,0,0,28,Approved,55+,Senior,Low,1,16,0.2458163237201308,0,0,Fast,6.444444444444445
42,Jordan,High School,2,5.1,6015,0,5,Business,Business,Divorced,0,1,1,0,88,Rejected,36-45,Entry,Low,0,2,0.05191706043607578,0,0,Slow,14.0
44,Norway,Master,4,6.8,40404,3,3,Student,Education,Married,2,1,0,1,72,Rejected,36-45,Mid,Low,0,10,0.1362345262471234,0,1,Slow,8.8
27,Thailand,Bachelor,0,7.9,37100,3,3,Tourist,Tourism,Single,0,1,0,0,39,Approved,26-35,Entry,Low,0,6,0.0794015239096164,0,0,Normal,27.0
51,Switzerland,Master,13,8.1,113963,4,14,Student,Education,Married,2,1,0,0,26,Approved,46-55,Expert,Low,1,21,0.3747131148898939,0,1,Fast,3.642857142857143
28,Finland,PhD,5,9.5,115393,1,6,Student,Education,Married,1,1,0,0,49,Approved,26-35,Mid,Low,1,7,0.27071527326570183,0,1,Normal,4.666666666666667
47,Finland,Master,11,8.4,59963,3,10,Work,Employment,Married,1,1,1,1,38,Approved,46-55,Expert,Low,0,17,0.2669519136235501,0,1,Normal,3.9166666666666665
33,Sri Lanka,Master,2,8.3,73434,4,5,Tourist,Tourism,Single,0,1,0,0,58,Approved,26-35,Entry,Low,1,10,0.16273919090676117,0,0,Normal,11.0
39,Russia,Bachelor,11,6.4,71745,0,5,Work,Employment,Married,2,1,1,0,49,Approved,36-45,Expert,Low,1,11,0.278641276284011,0,1,Normal,3.25
65,UAE,High School,0,6.2,27195,1,4,Student,Education,Divorced,0,0,0,1,20,Approved,55+,Entry,Low,0,2,0.05943026799789805,0,0,Fast,65.0
64,Morocco,Bachelor,12,7.7,43333,2,4,Work,Employment,Married,1,1,1,1,55,Rejected,55+,Expert,Low,0,16,0.2536769215834992,0,1,Normal,4.923076923076923
61,Algeria,Master,5,7.2,66734,3,8,Student,Education,Married,0,1,0,1,53,Approved,55+,Mid,Low,1,11,0.19075919639459604,0,0,Normal,10.166666666666666
69,Poland,Master,14,7.2,68024,0,4,Work,Employment,Single,0,1,0,0,53,Approved,55+,Expert,Low,1,14,0.3168339189612461,0,0,Normal,4.6
41,Czech Republic,Master,16,7.3,116323,1,4,Family,Family Reunion,Single,0,1,0,1,52,Approved,36-45,Expert,Low,1,18,0.4172357027664383,0,0,Normal,2.411764705882353
68,Saudi Arabia,PhD,12,8.2,148236,3,7,Work,Employment,Married,0,1,1,1,19,Approved,55+,Expert,Low,1,18,0.4126771092570973,0,0,Fast,5.230769230769231
31,Qatar,High School,3,5.6,19594,0,5,Work,Employment,Married,3,1,0,0,44,Rejected,26-35,Mid,Low,0,3,0.0875975221907851,0,1,Normal,7.75
54,Rwanda,Master,7,7.3,82078,0,4,Business,Business,Married,3,1,1,0,49,Approved,46-55,Senior,Low,1,7,0.2416827128024457,0,1,Normal,6.75
52,India,Master,9,8.2,98596,3,5,Work,Employment,Married,1,1,1,1,59,Approved,46-55,Senior,Low,1,15,0.29676885964344607,0,1,Normal,5.2
35,Ireland,Bachelor,2,7.2,25984,0,0,Student,Education,Married,1,1,0,0,83,Rejected,26-35,Entry,Low,0,2,0.08819829307626796,0,1,Slow,11.666666666666666
68,Cambodia,PhD,12,8.7,140910,4,4,Student,Education,Married,3,1,0,1,48,Approved,55+,Expert,Low,1,20,0.4031779350209288,0,1,Normal,5.230769230769231
21,Jordan,Master,2,7.2,95180,3,10,Tourist,Tourism,Divorced,0,1,0,0,50,Approved,18-25,Entry,Low,1,8,0.19208839141723336,0,0,Normal,7.0
44,Australia,Bachelor,4,7.7,34153,1,6,Tourist,Tourism,Single,0,0,0,1,51,Approved,36-45,Mid,Low,0,6,0.12954934495442766,0,0,Normal,8.8
57,Serbia,Master,17,7.9,100279,4,11,Tourist,Tourism,Single,0,1,0,1,46,Approved,55+,Expert,Low,1,25,0.40874052455417814,0,0,Normal,3.1666666666666665
57,France,PhD,18,7.6,192717,3,8,Business,Business,Married,2,1,0,0,23,Approved,55+,Expert,Low,1,24,0.5604190044756917,0,1,Fast,3.0
26,Greece,Master,2,6.7,103731,0,1,Business,Business,Married,1,1,0,0,58,Approved,26-35,Entry,Low,1,2,0.20342676691456837,0,1,Normal,8.666666666666666
68,Switzerland,Bachelor,5,6.1,66240,0,4,Student,Education,Married,3,1,0,1,36,Approved,55+,Mid,Low,1,5,0.1867175103349909,0,1,Normal,11.333333333333334
66,Peru,Bachelor,12,6.4,40806,0,7,Work,Employment,Single,0,1,1,0,38,Approved,55+,Expert,Low,0,12,0.24598291212474988,0,0,Normal,5.076923076923077
62,Malaysia,Master,2,8.1,88302,1,2,Student,Education,Married,1,1,0,1,19,Approved,55+,Entry,Low,1,4,0.18446183935657723,0,1,Fast,20.666666666666668
46,Czech Republic,PhD,14,9.2,180993,3,3,Work,Employment,Single,0,1,0,1,19,Approved,46-55,Expert,Low,1,20,0.4924443085716357,0,0,Fast,3.066666666666667
40,Croatia,Bachelor,8,7.6,26722,2,2,Student,Education,Married,2,1,0,1,95,Rejected,36-45,Senior,Low,0,12,0.17326493868897697,0,1,Very Slow,4.444444444444445
60,Sri Lanka,Bachelor,4,6.8,20822,1,7,Tourist,Tourism,Married,0,0,0,1,52,Approved,55+,Mid,Low,0,6,0.10683433106658141,0,0,Normal,12.0
35,China,PhD,5,7.6,154914,3,6,Tourist,Tourism,Married,1,1,0,0,57,Rejected,26-35,Mid,Low,1,11,0.32435165942289723,0,1,Normal,5.833333333333333
39,Iran,High School,2,6.8,25607,0,1,Work,Employment,Married,0,1,1,1,41,Approved,36-45,Entry,Low,0,2,0.08643226950446403,0,0,Normal,13.0
63,Brazil,High School,1,5.5,21458,1,5,Business,Business,Divorced,0,1,0,0,52,Rejected,55+,Entry,Low,0,3,0.06250990398877582,0,0,Normal,31.5
59,Romania,PhD,12,7.6,107924,1,5,Business,Business,Divorced,1,0,0,1,57,Approved,55+,Expert,Low,1,14,0.3503531245712629,0,1,Normal,4.538461538461538
18,Finland,High School,0,5.1,25234,2,5,Tourist,Tourism,Married,2,1,0,0,48,Rejected,18-25,Entry,Low,0,4,0.0531860445912469,0,1,Normal,18.0
39,Myanmar,Bachelor,14,6.5,21762,3,13,Business,Business,Single,0,1,1,0,23,Approved,36-45,Expert,Low,0,20,0.2452766710068883,0,0,Fast,2.6
26,Ireland,Master,2,7.9,95337,0,6,Work,Employment,Married,2,1,0,0,32,Approved,26-35,Entry,Low,1,2,0.1944241094564196,0,1,Normal,8.666666666666666
61,Croatia,PhD,14,8.7,117134,3,10,Tourist,Tourism,Single,0,1,0,0,25,Approved,55+,Expert,Low,1,20,0.395067122174218,0,0,Fast,4.066666666666666
25,Algeria,PhD,5,8.7,150600,4,13,Work,Employment,Married,2,1,1,1,29,Approved,18-25,Mid,Low,1,13,0.32117466820602164,0,1,Fast,4.166666666666667
32,Bangladesh,Bachelor,1,6.8,54268,1,7,Business,Business,Divorced,1,1,1,0,53,Rejected,26-35,Entry,Low,0,3,0.11567047001234762,0,1,Normal,16.0
52,Serbia,Bachelor,10,6.7,40662,3,9,Work,Employment,Divorced,0,1,1,1,63,Approved,46-55,Senior,Low,0,16,0.21908050524321207,0,0,Slow,4.7272727272727275
61,Jordan,High School,2,6.7,20775,2,8,Work,Employment,Divorced,1,1,0,0,91,Rejected,55+,Entry,Low,0,6,0.07887755889715228,0,1,Very Slow,20.333333333333332
64,Vietnam,High School,3,6.5,25144,2,9,Work,Employment,Single,0,0,1,0,32,Approved,55+,Mid,Low,0,7,0.09863022994545817,0,0,Normal,16.0
32,Norway,Bachelor,9,7.6,65028,2,7,Family,Family Reunion,Single,0,1,0,1,63,Rejected,26-35,Senior,Low,1,13,0.24457024092112792,0,0,Slow,3.2
42,Ethiopia,PhD,8,9.1,101844,2,3,Student,Education,Single,0,1,0,0,35,Rejected,36-45,Senior,Low,1,12,0.2905522669676347,0,0,Normal,4.666666666666667
64,Norway,Bachelor,0,6.3,27657,2,3,Student,Education,Married,2,1,0,1,44,Approved,55+,Entry,Low,0,4,0.06042390961639516,0,1,Normal,64.0
21,Colombia,Master,2,7.3,83642,3,11,Work,Employment,Married,2,1,1,0,50,Approved,18-25,Entry,Low,1,8,0.17506536762022112,0,1,Normal,7.0
32,Canada,Bachelor,9,7.1,60996,3,7,Family,Family Reunion,Married,0,1,0,0,17,Approved,26-35,Senior,Low,1,15,0.2370166413415168,0,0,Fast,3.2
57,Ireland,Master,7,7.5,59623,3,3,Work,Employment,Single,0,1,0,1,74,Rejected,55+,Senior,Low,0,13,0.20856902764367385,0,0,Slow,7.125
44,Canada,Bachelor,12,7.7,69138,1,2,Business,Business,Divorced,1,1,0,1,58,Rejected,36-45,Expert,Low,1,14,0.2924202591707674,0,1,Normal,3.3846153846153846
29,UK,Bachelor,2,8.0,54832,1,4,Work,Employment,Single,0,1,1,0,51,Approved,26-35,Entry,Low,0,4,0.13391035673515245,0,0,Normal,9.666666666666666
45,Serbia,Bachelor,5,7.9,38271,3,4,Business,Business,Married,0,1,0,1,40,Approved,36-45,Mid,Low,0,11,0.15012516741779253,0,0,Normal,7.5
35,Denmark,PhD,6,8.9,147266,3,9,Work,Employment,Married,3,1,1,1,36,Approved,26-35,Senior,Low,1,12,0.3305621414463551,0,1,Normal,5.0
63,Ecuador,PhD,13,7.4,101846,4,16,Work,Employment,Single,0,1,1,1,12,Approved,55+,Expert,Low,1,21,0.3544207869865833,0,0,Fast,4.5
61,Hungary,Bachelor,4,7.3,68901,2,10,Student,Education,Divorced,1,1,0,0,62,Approved,55+,Mid,Low,1,8,0.18051960244260423,0,1,Slow,12.2
42,Iran,Bachelor,10,7.9,59341,0,0,Work,Employment,Divorced,1,1,0,1,57,Approved,36-45,Senior,Low,0,10,0.250724946351237,0,1,Normal,3.8181818181818183
41,Serbia,PhD,11,8.2,71536,3,6,Student,Education,Single,0,1,0,0,20,Approved,36-45,Expert,Low,1,17,0.2837274860280242,0,0,Fast,3.4166666666666665
28,Qatar,Bachelor,1,7.4,49009,2,10,Business,Business,Single,0,1,1,0,31,Approved,26-35,Entry,Low,0,5,0.10957466639400065,0,0,Normal,14.0
29,Netherlands,High School,3,6.4,13905,1,4,Work,Employment,Married,1,0,1,1,37,Approved,26-35,Mid,Low,0,5,0.08145612139504904,0,1,Normal,7.25
19,Canada,Master,2,8.1,108577,1,7,Tourist,Tourism,Married,0,1,0,1,18,Approved,18-25,Entry,Low,1,4,0.21490249696486488,0,0,Fast,6.333333333333333
56,South Korea,Bachelor,7,7.4,23389,3,13,Student,Education,Divorced,1,1,0,1,22,Approved,55+,Senior,Low,0,13,0.1538677064215434,0,1,Fast,7.0
59,Colombia,High School,3,5.3,18612,2,4,Family,Family Reunion,Single,0,1,0,1,84,Rejected,55+,Mid,Low,0,7,0.08522315840428257,0,0,Slow,14.75
49,Finland,Bachelor,2,6.5,68479,0,2,Tourist,Tourism,Single,0,1,0,0,19,Approved,46-55,Entry,Low,1,2,0.14989980947894044,0,0,Fast,16.333333333333332
24,Norway,Master,2,8.0,114131,4,7,Tourist,Tourism,Married,3,0,0,1,59,Rejected,18-25,Entry,Low,1,10,0.22294121027467648,0,1,Normal,8.0
53,Jordan,Master,8,7.1,57778,1,6,Student,Education,Married,1,1,0,0,68,Rejected,46-55,Senior,Low,0,10,0.21839206878431516,0,1,Slow,5.888888888888889
53,Germany,Bachelor,6,6.8,64965,4,12,Work,Employment,Widowed,2,1,1,1,15,Approved,46-55,Senior,Low,1,14,0.20069634308286888,0,1,Fast,7.571428571428571
42,Chile,Bachelor,14,7.2,40939,3,9,Student,Education,Married,2,1,0,0,49,Approved,36-45,Expert,Low,0,20,0.27616880372965685,0,1,Normal,2.8
29,India,Bachelor,3,7.4,36959,3,11,Tourist,Tourism,Married,3,1,0,0,70,Rejected,26-35,Mid,Low,0,9,0.11906913843581175,0,1,Slow,7.25
45,Philippines,Bachelor,1,8.0,20968,4,7,Work,Employment,Single,0,1,1,0,42,Approved,36-45,Entry,Low,0,9,0.0692742234843092,0,0,Normal,22.5
68,Indonesia,High School,2,5.0,17504,1,5,Business,Business,Widowed,1,1,0,1,52,Rejected,55+,Entry,Low,0,4,0.06886651618264136,0,1,Normal,22.666666666666668
62,Greece,Master,9,8.4,63196,4,9,Work,Employment,Single,0,1,1,1,27,Approved,55+,Senior,Low,1,17,0.2442196966676935,0,0,Fast,6.2
43,Mexico,Master,9,8.1,70659,0,0,Work,Employment,Married,0,1,1,1,12,Approved,36-45,Senior,Low,1,9,0.25452456116735567,0,0,Fast,4.3
23,Kuwait,PhD,5,9.2,178516,4,12,Work,Employment,Single,0,1,1,1,44,Approved,18-25,Mid,Low,1,13,0.3645874375176349,0,0,Normal,3.8333333333333335
30,Morocco,Bachelor,7,6.6,69606,0,4,Work,Employment,Married,0,1,1,1,42,Approved,26-35,Senior,Low,1,7,0.220857391880593,0,0,Normal,3.75
49,Hong Kong,Bachelor,2,6.3,76269,1,2,Student,Education,Single,0,1,0,0,28,Approved,46-55,Entry,Low,1,4,0.16099562811117524,0,0,Fast,16.333333333333332
22,Sweden,Master,2,7.7,66966,1,4,Family,Family Reunion,Married,2,1,0,0,82,Rejected,18-25,Entry,Low,1,4,0.15122820824780164,0,1,Slow,7.333333333333333
32,Algeria,Master,5,8.4,77650,1,6,Student,Education,Single,0,1,0,0,41,Approved,26-35,Mid,Low,1,7,0.21074835636757105,0,0,Normal,5.333333333333333
25,Sri Lanka,High School,1,5.5,28171,1,1,Student,Education,Married,3,1,0,0,49,Rejected,18-25,Entry,Low,0,3,0.07258872689996868,0,1,Normal,12.5
59,UAE,Bachelor,3,6.2,79189,0,3,Work,Employment,Widowed,2,1,1,1,45,Approved,55+,Mid,Low,1,3,0.17887278681055838,0,1,Normal,14.75
43,Egypt,Master,11,8.3,74084,3,4,Tourist,Tourism,Single,0,1,0,1,26,Approved,36-45,Expert,Low,1,17,0.2878530246512507,0,0,Fast,3.5833333333333335
27,Czech Republic,Master,2,8.0,57633,0,6,Student,Education,Single,0,1,0,0,28,Approved,26-35,Entry,Low,0,2,0.13811574672088925,0,0,Fast,9.0
27,Rwanda,Bachelor,0,8.0,66882,4,5,Student,Education,Married,2,1,0,1,48,Approved,26-35,Entry,Low,1,8,0.12441588469334133,0,1,Normal,27.0
36,Nepal,Master,8,8.0,52323,4,4,Student,Education,Married,0,1,0,1,27,Approved,36-45,Senior,Low,0,16,0.21290199296418152,0,0,Fast,4.0
66,Serbia,High School,2,6.3,28781,1,3,Student,Education,Married,2,1,0,0,56,Approved,55+,Entry,Low,0,4,0.08969767750686626,0,1,Normal,22.0
55,Hong Kong,Master,9,7.7,100963,4,16,Tourist,Tourism,Married,2,1,0,1,31,Approved,46-55,Senior,Low,1,17,0.2988226468966553,0,1,Normal,5.5
34,Sri Lanka,Master,9,7.3,112982,3,5,Work,Employment,Married,3,1,1,1,34,Approved,26-35,Senior,Low,1,15,0.3156678386990725,0,1,Normal,3.4
39,Tanzania,Master,13,8.1,59169,4,7,Work,Employment,Single,0,0,1,1,33,Rejected,36-45,Expert,Low,0,21,0.29244601782510893,0,0,Normal,2.7857142857142856
28,Lebanon,Bachelor,3,7.7,44837,2,7,Student,Education,Single,0,1,0,1,58,Approved,26-35,Mid,Low,0,7,0.13179707928109363,0,0,Normal,7.0
35,Portugal,Bachelor,5,6.3,51750,3,11,Work,Employment,Divorced,2,1,0,0,42,Rejected,26-35,Mid,Low,0,11,0.16556238684576338,0,1,Normal,5.833333333333333
19,Algeria,Bachelor,0,7.2,51552,4,7,Student,Education,Single,0,0,0,0,20,Approved,18-25,Entry,Low,0,8,0.09899959462502814,0,0,Fast,19.0
21,Algeria,Bachelor,0,7.6,65183,3,6,Student,Education,Single,0,1,0,0,17,Approved,18-25,Entry,Low,1,6,0.12066502514826213,0,0,Fast,21.0
36,Japan,Bachelor,10,7.5,46526,0,6,Work,Employment,Single,0,1,0,0,36,Approved,36-45,Senior,Low,0,10,0.23028464907625762,0,0,Normal,3.272727272727273
50,Brazil,Master,6,7.7,81779,4,7,Tourist,Tourism,Single,0,1,0,1,45,Approved,46-55,Senior,Low,1,14,0.22864069410756674,0,0,Normal,7.142857142857143
44,Colombia,Bachelor,4,6.0,24481,2,6,Work,Employment,Single,0,0,1,1,37,Rejected,36-45,Mid,Low,0,8,0.10992791262952714,0,0,Normal,8.8
38,Austria,Master,5,7.2,93744,3,13,Student,Education,Widowed,2,0,0,1,60,Approved,36-45,Mid,Low,1,11,0.2313117074673383,0,1,Normal,6.333333333333333
35,Greece,Master,2,8.4,72784,0,0,Tourist,Tourism,Single,0,1,0,0,88,Rejected,26-35,Entry,Low,1,2,0.16206328819675442,0,0,Slow,11.666666666666666
57,Russia,Master,9,8.3,91399,0,6,Business,Business,Married,0,1,0,1,51,Approved,55+,Senior,Low,1,9,0.28626336456049434,0,0,Normal,5.7
25,Tanzania,High School,4,6.6,29034,0,4,Student,Education,Married,2,1,0,0,47,Rejected,18-25,Mid,Low,0,4,0.11856373576592831,0,1,Normal,5.0
68,Chile,Bachelor,4,7.3,30759,1,6,Work,Employment,Single,0,1,1,1,19,Approved,55+,Mid,Low,0,6,0.12325363141940777,0,0,Fast,13.6
32,Denmark,High School,3,6.5,17504,1,7,Work,Employment,Single,0,1,1,1,90,Rejected,26-35,Mid,Low,0,5,0.08715961963091721,0,0,Slow,8.0
49,Sri Lanka,Master,12,6.6,98279,1,7,Work,Employment,Married,1,1,1,1,57,Rejected,46-55,Expert,Low,1,14,0.33287222974354724,0,1,Normal,3.769230769230769
38,Italy,Bachelor,7,8.0,50841,0,3,Business,Business,Divorced,0,1,0,1,75,Rejected,36-45,Senior,Low,0,7,0.19688383133709025,0,0,Slow,4.75
24,Morocco,Master,2,7.6,98712,3,4,Work,Employment,Single,0,1,1,0,39,Approved,18-25,Entry,Low,1,8,0.1985912966045316,0,0,Normal,8.0
61,Ukraine,Bachelor,7,7.2,38037,2,8,Tourist,Tourism,Married,2,1,0,1,21,Approved,55+,Senior,Low,0,11,0.17526004933874179,0,1,Fast,7.625
33,Tanzania,Bachelor,0,6.6,41727,1,2,Work,Employment,Married,2,1,1,1,84,Rejected,26-35,Entry,Low,0,2,0.08244844981607986,0,1,Slow,33.0
26,Australia,High School,3,6.5,22421,0,1,Tourist,Tourism,Married,3,0,0,0,77,Rejected,26-35,Mid,Low,0,3,0.09454194828492217,0,1,Slow,6.5
54,Bulgaria,Bachelor,3,7.6,21013,2,6,Tourist,Tourism,Single,0,1,0,0,19,Approved,46-55,Mid,Low,0,7,0.09572799287616908,0,0,Fast,13.5
62,Peru,Bachelor,12,7.3,36087,4,13,Student,Education,Divorced,1,1,0,1,46,Approved,55+,Expert,Low,0,20,0.24159785845010084,0,1,Normal,4.769230769230769
63,Ukraine,Master,7,6.9,50258,4,7,Work,Employment,Married,2,1,1,0,28,Approved,55+,Senior,Low,0,15,0.19270852167565344,0,1,Fast,7.875
62,Taiwan,Bachelor,14,6.2,54501,3,13,Tourist,Tourism,Married,0,1,0,1,19,Approved,55+,Expert,Low,0,20,0.29353063842675164,0,0,Fast,4.133333333333334
60,Cambodia,Bachelor,4,6.1,45122,1,3,Student,Education,Single,0,1,0,1,19,Approved,55+,Mid,Low,0,6,0.14121807853298785,0,0,Fast,12.0
23,Brazil,High School,2,5.9,8384,3,8,Work,Employment,Divorced,0,1,1,0,64,Rejected,18-25,Entry,Low,0,8,0.057873850466854254,0,0,Slow,7.666666666666667
47,Iran,High School,3,5.6,6974,3,10,Family,Family Reunion,Single,0,1,0,1,35,Rejected,46-55,Mid,Low,0,9,0.06864999572880776,0,0,Normal,11.75
61,Rwanda,Bachelor,3,7.2,70026,0,4,Student,Education,Single,0,1,0,1,54,Rejected,55+,Mid,Low,1,3,0.16811556137703237,0,0,Normal,15.25
37,South Africa,Master,11,7.3,62669,0,4,Family,Family Reunion,Single,0,1,0,1,38,Approved,36-45,Expert,Low,1,11,0.26771467167474744,0,0,Normal,3.0833333333333335
66,Argentina,Bachelor,11,6.7,45000,0,1,Tourist,Tourism,Divorced,0,1,0,0,28,Approved,55+,Expert,Low,0,11,0.2393866332391945,0,0,Fast,5.5
51,Chile,Master,18,7.6,90669,1,1,Student,Education,Single,0,1,0,0,22,Approved,46-55,Expert,Low,1,20,0.4072052817822003,0,0,Fast,2.6842105263157894
33,Finland,Master,8,7.5,70651,2,4,Work,Employment,Married,2,1,1,0,26,Approved,26-35,Senior,Low,1,12,0.2389194466088028,0,1,Fast,3.6666666666666665
