age,country,education,work_experience,language_score,financial_status,previous_visas,travel_history,visa_type,purpose,marital_status,dependents,application_complete,job_offer,sponsor,processing_time_days,visa_status
52,India,Master,9,8.2,98596,3,5,Work,Employment,Married,1,1,1,1,59,Approved
35,Ireland,Bachelor,2,7.2,25984,0,0,Student,Education,Married,1,1,0,0,83,Rejected
68,Cambodia,PhD,12,8.7,140910,4,4,Student,Education,Married,3,1,0,1,48,Approved
21,Jordan,Master,2,7.2,95180,3,10,Tourist,Tourism,Divorced,0,1,0,0,50,Approved
44,Australia,Bachelor,4,7.7,34153,1,6,Tourist,Tourism,Single,0,0,0,1,51,Approved
57,Serbia,Master,17,7.9,100279,4,11,Tourist,Tourism,Single,0,1,0,1,46,Approved
57,France,PhD,18,7.6,192717,3,8,Business,Business,Married,2,1,0,0,23,Approved
26,Greece,Master,2,6.7,103731,0,1,Business,Business,Married,1,1,0,0,58,Approved
68,Switzerland,Bachelor,5,6.1,66240,0,4,Student,Education,Married,3,1,0,1,36,Approved
66,Peru,Bachelor,12,6.4,40806,0,7,Work,Employment,Single,0,1,1,0,38,Approved
62,Malaysia,Master,2,8.1,88302,1,2,Student,Education,Married,1,1,0,1,19,Approved
46,Czech Republic,PhD,14,9.2,180993,3,3,Work,Employment,Single,0,1,0,1,19,Approved
40,Croatia,Bachelor,8,7.6,26722,2,2,Student,Education,Married,2,1,0,1,95,Rejected
60,Sri Lanka,Bachelor,4,6.8,20822,1,7,Tourist,Tourism,Married,0,0,0,1,52,Approved
35,China,PhD,5,7.6,154914,3,6,Tourist,Tourism,Married,1,1,0,0,57,Rejected
39,Iran,High School,2,6.8,25607,0,1,Work,Employment,Married,0,1,1,1,41,Approved
63,Brazil,High School,1,5.5,21458,1,5,Business,Business,Divorced,0,1,0,0,52,Rejected
59,Romania,PhD,12,7.6,107924,1,5,Business,Business,Divorced,1,0,0,1,57,Approved
18,Finland,High School,0,5.1,25234,2,5,Tourist,Tourism,Married,2,1,0,0,48,Rejected
39,Myanmar,Bachelor,14,6.5,21762,3,13,Business,Business,Single,0,1,1,0,23,Approved
26,Ireland,Master,2,7.9,95337,0,6,Work,Employment,Married,2,1,0,0,32,Approved
61,Croatia,PhD,14,8.7,117134,3,10,Tourist,Tourism,Single,0,1,0,0,25,Approved
25,Algeria,PhD,5,8.7,150600,4,13,Work,Employment,Married,2,1,1,1,29,Approved
32,Bangladesh,Bachelor,1,6.8,54268,1,7,Business,Business,Divorced,1,1,1,0,53,Rejected
52,Serbia,Bachelor,10,6.7,40662,3,9,Work,Employment,Divorced,0,1,1,1,63,Approved
61,Jordan,High School,2,6.7,20775,2,8,Work,Employment,Divorced,1,1,0,0,91,Rejected
64,Vietnam,High School,3,6.5,25144,2,9,Work,Employment,Single,0,0,1,0,32,Approved
32,Norway,Bachelor,9,7.6,65028,2,7,Family,Family Reunion,Single,0,1,0,1,63,Rejected
42,Ethiopia,PhD,8,9.1,101844,2,3,Student,Education,Single,0,1,0,0,35,Rejected
64,Norway,Bachelor,0,6.3,27657,2,3,Student,Education,Married,2,1,0,1,44,Approved
21,Colombia,Master,2,7.3,83642,3,11,Work,Employment,Married,2,1,1,0,50,Approved
32,Canada,Bachelor,9,7.1,60996,3,7,Family,Family Reunion,Married,0,1,0,0,17,Approved
57,Ireland,Master,7,7.5,59623,3,3,Work,Employment,Single,0,1,0,1,74,Rejected
44,Canada,Bachelor,12,7.7,69138,1,2,Business,Business,Divorced,1,1,0,1,58,Rejected
29,UK,Bachelor,2,8.0,54832,1,4,Work,Employment,Single,0,1,1,0,51,Approved
45,Serbia,Bachelor,5,7.9,38271,3,4,Business,Business,Married,0,1,0,1,40,Approved
35,Denmark,PhD,6,8.9,147266,3,9,Work,Employment,Married,3,1,1,1,36,Approved
63,Ecuador,PhD,13,7.4,101846,4,16,Work,Employment,Single,0,1,1,1,12,Approved
61,Hungary,Bachelor,4,7.3,68901,2,10,Student,Education,Divorced,1,1,0,0,62,Approved
42,Iran,Bachelor,10,7.9,59341,0,0,Work,Employment,Divorced,1,1,0,1,57,Approved
41,Serbia,PhD,11,8.2,71536,3,6,Student,Education,Single,0,1,0,0,20,Approved
28,Qatar,Bachelor,1,7.4,49009,2,10,Business,Business,Single,0,1,1,0,31,Approved
29,Netherlands,High School,3,6.4,13905,1,4,Work,Employment,Married,1,0,1,1,37,Approved
19,Canada,Master,2,8.1,108577,1,7,Tourist,Tourism,Married,0,1,0,1,18,Approved
56,South Korea,Bachelor,7,7.4,23389,3,13,Student,Education,Divorced,1,1,0,1,22,Approved
59,Colombia,High School,3,5.3,18612,2,4,Family,Family Reunion,Single,0,1,0,1,84,Rejected
49,Finland,Bachelor,2,6.5,68479,0,2,Tourist,Tourism,Single,0,1,0,0,19,Approved
24,Norway,Master,2,8.0,114131,4,7,Tourist,Tourism,Married,3,0,0,1,59,Rejected
53,Jordan,Master,8,7.1,57778,1,6,Student,Education,Married,1,1,0,0,68,Rejected
53,Germany,Bachelor,6,6.8,64965,4,12,Work,Employment,Widowed,2,1,1,1,15,Approved
42,Chile,Bachelor,14,7.2,40939,3,9,Student,Education,Married,2,1,0,0,49,Approved
29,India,Bachelor,3,7.4,36959,3,11,Tourist,Tourism,Married,3,1,0,0,70,Rejected
45,Philippines,Bachelor,1,8.0,20968,4,7,Work,Employment,Single,0,1,1,0,42,Approved
68,Indonesia,High School,2,5.0,17504,1,5,Business,Business,Widowed,1,1,0,1,52,Rejected
62,Greece,Master,9,8.4,63196,4,9,Work,Employment,Single,0,1,1,1,27,Approved
43,Mexico,Master,9,8.1,70659,0,0,Work,Employment,Married,0,1,1,1,12,Approved
23,Kuwait,PhD,5,9.2,178516,4,12,Work,Employment,Single,0,1,1,1,44,Approved
30,Morocco,Bachelor,7,6.6,69606,0,4,Work,Employment,Married,0,1,1,1,42,Approved
49,Hong Kong,Bachelor,2,6.3,76269,1,2,Student,Education,Single,0,1,0,0,28,Approved
22,Sweden,Master,2,7.7,66966,1,4,Family,Family Reunion,Married,2,1,0,0,82,Rejected
32,Algeria,Master,5,8.4,77650,1,6,Student,Education,Single,0,1,0,0,41,Approved
25,Sri Lanka,High School,1,5.5,28171,1,1,Student,Education,Married,3,1,0,0,49,Rejected
59,UAE,Bachelor,3,6.2,79189,0,3,Work,Employment,Widowed,2,1,1,1,45,Approved
43,Egypt,Master,11,8.3,74084,3,4,Tourist,Tourism,Single,0,1,0,1,26,Approved
27,Czech Republic,Master,2,8.0,57633,0,6,Student,Education,Single,0,1,0,0,28,Approved
27,Rwanda,Bachelor,0,8.0,66882,4,5,Student,Education,Married,2,1,0,1,48,Approved
36,Nepal,Master,8,8.0,52323,4,4,Student,Education,Married,0,1,0,1,27,Approved
66,Serbia,High School,2,6.3,28781,1,3,Student,Education,Married,2,1,0,0,56,Approved
55,Hong Kong,Master,9,7.7,100963,4,16,Tourist,Tourism,Married,2,1,0,1,31,Approved
34,Sri Lanka,Master,9,7.3,112982,3,5,Work,Employment,Married,3,1,1,1,34,Approved
39,Tanzania,Master,13,8.1,59169,4,7,Work,Employment,Single,0,0,1,1,33,Rejected
28,Lebanon,Bachelor,3,7.7,44837,2,7,Student,Education,Single,0,1,0,1,58,Approved
35,Portugal,Bachelor,5,6.3,51750,3,11,Work,Employment,Divorced,2,1,0,0,42,Rejected
19,Algeria,Bachelor,0,7.2,51552,4,7,Student,Education,Single,0,0,0,0,20,Approved
21,Algeria,Bachelor,0,7.6,65183,3,6,Student,Education,Single,0,1,0,0,17,Approved
36,Japan,Bachelor,10,7.5,46526,0,6,Work,Employment,Single,0,1,0,0,36,Approved
50,Brazil,Master,6,7.7,81779,4,7,Tourist,Tourism,Single,0,1,0,1,45,Approved
44,Colombia,Bachelor,4,6.0,24481,2,6,Work,Employment,Single,0,0,1,1,37,Rejected
38,Austria,Master,5,7.2,93744,3,13,Student,Education,Widowed,2,0,0,1,60,Approved
35,Greece,Master,2,8.4,72784,0,0,Tourist,Tourism,Single,0,1,0,0,88,Rejected
57,Russia,Master,9,8.3,91399,0,6,Business,Business,Married,0,1,0,1,51,Approved
25,Tanzania,High School,4,6.6,29034,0,4,Student,Education,Married,2,1,0,0,47,Rejected
68,Chile,Bachelor,4,7.3,30759,1,6,Work,Employment,Single,0,1,1,1,19,Approved
32,Denmark,High School,3,6.5,17504,1,7,Work,Employment,Single,0,1,1,1,90,Rejected
49,Sri Lanka,Master,12,6.6,98279,1,7,Work,Employment,Married,1,1,1,1,57,Rejected
38,Italy,Bachelor,7,8.0,50841,0,3,Business,Business,Divorced,0,1,0,1,75,Rejected
24,Morocco,Master,2,7.6,98712,3,4,Work,Employment,Single,0,1,1,0,39,Approved
61,Ukraine,Bachelor,7,7.2,38037,2,8,Tourist,Tourism,Married,2,1,0,1,21,Approved
33,Tanzania,Bachelor,0,6.6,41727,1,2,Work,Employment,Married,2,1,1,1,84,Rejected
26,Australia,High School,3,6.5,22421,0,1,Tourist,Tourism,Married,3,0,0,0,77,Rejected
54,Bulgaria,Bachelor,3,7.6,21013,2,6,Tourist,Tourism,Single,0,1,0,0,19,Approved
62,Peru,Bachelor,12,7.3,36087,4,13,Student,Education,Divorced,1,1,0,1,46,Approved
63,Ukraine,Master,7,6.9,50258,4,7,Work,Employment,Married,2,1,1,0,28,Approved
62,Taiwan,Bachelor,14,6.2,54501,3,13,Tourist,Tourism,Married,0,1,0,1,19,Approved
60,Cambodia,Bachelor,4,6.1,45122,1,3,Student,Education,Single,0,1,0,1,19,Approved
23,Brazil,High School,2,5.9,8384,3,8,Work,Employment,Divorced,0,1,1,0,64,Rejected
47,Iran,High School,3,5.6,6974,3,10,Family,Family Reunion,Single,0,1,0,1,35,Rejected
61,Rwanda,Bachelor,3,7.2,70026,0,4,Student,Education,Single,0,1,0,1,54,Rejected
37,South Africa,Master,11,7.3,62669,0,4,Family,Family Reunion,Single,0,1,0,1,38,Approved
66,Argentina,Bachelor,11,6.7,45000,0,1,Tourist,Tourism,Divorced,0,1,0,0,28,Approved
51,Chile,Master,18,7.6,90669,1,1,Student,Education,Single,0,1,0,0,22,Approved
33,Finland,Master,8,7.5,70651,2,4,Work,Employment,Married,2,1,1,0,26,Approved
69,South Africa,Bachelor,5,6.3,20781,2,10,Student,Education,Divorced,0,0,0,1,21,Approved
61,Germany,Bachelor,3,6.9,71578,1,3,Tourist,Tourism,Single,0,1,0,1,39,Approved
45,France,Master,10,7.3,107821,1,2,Student,Education,Married,1,1,0,1,46,Rejected
60,Ireland,Bachelor,6,6.4,53380,3,13,Work,Employment,Married,2,1,1,1,76,Rejected
33,India,Bachelor,4,7.5,76481,3,8,Family,Family Reunion,Widowed,2,1,0,1,18,Approved
42,Peru,Master,6,8.4,117275,4,12,Business,Business,Single,0,1,1,1,58,Approved
61,Rwanda,Bachelor,2,7.8,79165,1,5,Work,Employment,Married,2,0,0,1,36,Approved
28,Slovakia,Bachelor,0,7.7,38058,2,4,Work,Employment,Married,2,1,1,0,53,Approved
26,Peru,Bachelor,2,6.2,29794,3,12,Student,Education,Married,2,0,0,0,92,Rejected
69,Colombia,PhD,13,9.0,89516,1,3,Business,Business,Single,0,0,1,1,52,Approved
31,Tanzania,High School,2,5.8,13472,1,6,Work,Employment,Single,0,1,1,0,44,Rejected
37,Portugal,PhD,7,8.6,154840,3,5,Business,Business,Married,0,0,0,1,23,Approved
50,Greece,Bachelor,2,6.5,46957,0,3,Work,Employment,Married,0,1,1,1,91,Rejected
66,Sweden,High School,1,6.1,22044,4,7,Work,Employment,Married,0,1,1,1,42,Rejected
41,Israel,High School,3,6.8,11317,0,2,Business,Business,Married,2,1,0,1,80,Rejected
21,Czech Republic,Bachelor,0,6.8,69068,2,7,Work,Employment,Single,0,1,1,1,52,Approved
39,Algeria,High School,1,6.8,18778,3,12,Family,Family Reunion,Single,0,1,0,1,49,Approved
65,Hungary,Master,18,6.5,98557,2,5,Work,Employment,Married,0,1,1,1,58,Approved
41,New Zealand,Bachelor,4,6.7,69062,0,6,Student,Education,Married,2,1,0,1,71,Rejected
57,Argentina,Bachelor,4,6.5,26588,0,4,Tourist,Tourism,Divorced,0,0,0,1,55,Rejected
62,Belgium,High School,1,5.5,10443,0,6,Tourist,Tourism,Married,2,1,0,0,63,Rejected
68,South Africa,Master,10,7.8,74610,2,3,Work,Employment,Single,0,1,0,0,23,Approved
55,Nigeria,Bachelor,0,7.4,48939,2,2,Work,Employment,Single,0,1,1,1,40,Approved
41,Canada,Master,3,7.3,76268,0,4,Business,Business,Married,3,1,1,0,44,Rejected
58,Kuwait,High School,1,5.7,6141,3,3,Student,Education,Divorced,0,1,0,1,12,Approved
64,Peru,Bachelor,1,7.3,74698,2,2,Work,Employment,Married,3,1,1,1,39,Rejected
21,Denmark,Bachelor,0,7.0,75370,4,7,Work,Employment,Single,0,1,1,1,25,Approved
32,Malaysia,High School,4,6.9,13036,2,8,Student,Education,Married,0,1,0,1,40,Approved
49,Ukraine,Bachelor,0,7.1,28556,4,14,Business,Business,Single,0,1,0,1,35,Approved
63,Russia,PhD,23,7.4,141532,2,3,Student,Education,Married,0,1,0,1,37,Approved
56,Mexico,High School,3,6.8,15238,2,6,Student,Education,Married,2,1,0,0,28,Approved
45,Pakistan,Master,15,6.6,53893,0,2,Student,Education,Single,0,1,0,1,84,Rejected
55,Taiwan,Master,12,8.3,76593,0,2,Business,Business,Single,0,1,0,1,21,Approved
62,Hong Kong,Bachelor,3,6.0,22384,0,0,Business,Business,Single,0,1,0,1,75,Rejected
48,Ukraine,Master,11,6.8,117949,4,15,Business,Business,Married,0,1,0,0,79,Rejected
25,Poland,Master,2,6.5,106624,3,11,Tourist,Tourism,Single,0,0,0,0,87,Rejected
18,Australia,Master,2,7.3,61281,3,8,Work,Employment,Single,0,1,1,1,66,Approved
36,Sri Lanka,Master,3,8.1,86092,3,4,Work,Employment,Single,0,1,1,1,59,Rejected
56,Israel,Bachelor,12,7.2,66132,2,10,Tourist,Tourism,Single,0,1,0,0,38,Rejected
53,Tanzania,Master,19,7.0,56237,3,7,Business,Business,Married,0,1,1,1,26,Approved
48,Japan,High School,2,5.5,20920,0,6,Work,Employment,Married,1,1,1,1,25,Approved
23,Myanmar,PhD,5,9.3,79008,2,4,Student,Education,Single,0,1,0,1,89,Rejected
36,Norway,Bachelor,2,6.2,52441,1,5,Student,Education,Divorced,2,0,0,1,42,Approved
30,Taiwan,Bachelor,3,7.4,29821,0,4,Student,Education,Single,0,1,0,1,58,Approved
52,Belgium,High School,2,5.7,14083,0,4,Student,Education,Married,2,1,0,1,74,Rejected
39,Portugal,High School,3,6.5,27853,3,7,Tourist,Tourism,Single,0,1,0,0,49,Approved
30,Slovakia,Master,2,7.0,42100,1,6,Work,Employment,Married,0,0,1,1,36,Approved
64,Thailand,PhD,15,9.2,192473,3,12,Tourist,Tourism,Single,0,1,0,0,55,Approved
29,Romania,Master,4,8.1,70116,4,12,Tourist,Tourism,Single,0,1,0,0,30,Approved
53,Bangladesh,Master,12,8.2,67606,0,7,Student,Education,Married,3,1,0,0,41,Approved
51,Chile,Bachelor,11,6.1,66681,0,6,Tourist,Tourism,Single,0,1,0,1,52,Rejected
58,Thailand,Bachelor,9,7.8,68152,1,3,Student,Education,Single,0,1,0,0,52,Approved
60,Israel,Bachelor,7,7.4,62552,0,5,Work,Employment,Divorced,0,1,0,0,57,Approved
51,South Africa,Bachelor,13,6.2,64605,1,6,Student,Education,Divorced,1,1,0,1,45,Rejected
62,Taiwan,High School,1,6.7,18979,3,8,Work,Employment,Widowed,2,1,1,1,39,Rejected
42,Ghana,Master,7,6.5,98627,3,5,Tourist,Tourism,Single,0,1,0,0,21,Approved
51,Mexico,Bachelor,3,6.5,43360,2,8,Tourist,Tourism,Married,1,1,0,1,17,Approved
27,Australia,Bachelor,1,7.6,44532,1,4,Work,Employment,Divorced,1,1,1,1,23,Approved
30,Portugal,High School,2,6.9,7176,0,4,Student,Education,Single,0,0,0,1,62,Approved
56,Thailand,Master,19,7.8,91313,0,1,Business,Business,Single,0,1,1,0,19,Approved
18,Thailand,High School,0,5.4,17996,2,9,Student,Education,Married,1,1,0,1,32,Approved
24,Poland,Master,2,8.1,114601,3,4,Work,Employment,Single,0,1,1,0,65,Rejected
44,Nepal,Bachelor,0,6.8,68407,2,9,Work,Employment,Divorced,1,1,1,1,36,Approved
69,Morocco,PhD,25,8.9,109976,4,12,Work,Employment,Single,0,1,1,1,42,Approved
37,Nigeria,Master,5,8.4,60466,3,11,Business,Business,Single,0,1,0,0,41,Approved
68,Slovakia,Bachelor,5,6.8,47127,4,9,Student,Education,Divorced,2,1,0,1,59,Rejected
26,Kenya,Master,2,7.2,118958,0,2,Tourist,Tourism,Married,0,1,0,0,29,Approved
41,Jordan,Master,12,8.1,105942,1,7,Business,Business,Married,0,1,0,0,20,Approved
37,Greece,Bachelor,0,7.5,20174,4,10,Student,Education,Single,0,1,0,0,61,Rejected
35,Spain,Master,2,8.4,77564,3,10,Tourist,Tourism,Single,0,1,0,1,42,Rejected
18,Myanmar,Master,2,6.9,107391,2,4,Student,Education,Divorced,1,1,0,0,71,Rejected
39,Slovakia,Master,9,8.4,51889,2,4,Work,Employment,Single,0,1,1,0,24,Approved
44,Indonesia,Master,15,7.7,40887,2,2,Work,Employment,Single,0,1,1,1,51,Approved
50,Turkey,Master,15,8.1,62931,4,11,Work,Employment,Married,1,1,1,1,31,Rejected
22,Chile,Bachelor,0,7.4,34256,2,2,Student,Education,Married,1,1,0,0,37,Rejected
55,Ukraine,High School,2,5.2,27547,2,10,Work,Employment,Married,2,1,1,1,48,Rejected
23,Romania,Master,2,7.7,85800,2,5,Work,Employment,Married,2,0,0,0,34,Approved
39,Finland,Master,7,7.8,95276,3,3,Work,Employment,Single,0,1,1,0,68,Rejected
62,Netherlands,Bachelor,5,6.2,36753,2,7,Work,Employment,Married,0,1,1,0,48,Approved
26,Romania,High School,0,6.1,15409,1,4,Work,Employment,Married,2,1,1,1,50,Approved
63,Myanmar,High School,2,5.9,25285,1,1,Tourist,Tourism,Divorced,2,1,0,0,41,Rejected
30,Netherlands,Bachelor,6,7.5,64781,2,2,Business,Business,Married,0,1,1,1,66,Rejected
26,Hungary,Master,2,8.2,103610,3,8,Student,Education,Single,0,1,0,1,71,Rejected
51,Kuwait,Bachelor,8,6.4,51957,4,14,Student,Education,Single,0,0,0,1,45,Rejected
67,India,PhD,9,9.0,173499,4,5,Business,Business,Single,0,0,1,1,18,Approved
29,Serbia,Bachelor,0,6.7,46489,3,10,Tourist,Tourism,Married,3,1,0,0,74,Rejected
66,Bulgaria,PhD,25,9.3,77413,2,4,Work,Employment,Divorced,2,1,1,1,25,Approved
39,Rwanda,Bachelor,12,7.4,52115,4,4,Tourist,Tourism,Married,0,1,0,1,31,Approved
50,Malaysia,High School,1,6.8,26113,1,7,Work,Employment,Single,0,1,1,1,33,Approved
32,Chile,Master,2,7.3,76320,2,4,Tourist,Tourism,Widowed,0,1,0,1,22,Approved
18,Japan,High School,0,6.4,9927,4,16,Student,Education,Divorced,0,1,0,1,20,Approved
66,Austria,Master,12,6.6,90940,2,6,Work,Employment,Married,1,1,1,1,22,Approved
39,France,Bachelor,8,7.1,31676,2,4,Business,Business,Single,0,0,1,1,54,Approved
35,Finland,Bachelor,7,7.8,22763,0,7,Family,Family Reunion,Single,0,1,0,0,16,Approved
30,Portugal,PhD,5,9.4,139698,2,7,Tourist,Tourism,Single,0,1,0,0,24,Approved
48,Malaysia,Bachelor,0,6.7,20670,3,4,Tourist,Tourism,Married,0,1,0,0,53,Approved
56,Bulgaria,Master,13,8.0,75931,0,6,Business,Business,Single,0,1,1,1,40,Approved
53,Saudi Arabia,Bachelor,12,7.4,71727,2,10,Work,Employment,Married,3,1,1,1,25,Approved
43,China,High School,1,6.9,18680,0,6,Tourist,Tourism,Single,0,1,0,1,62,Rejected
38,Turkey,Master,11,7.8,83395,3,12,Tourist,Tourism,Married,3,1,0,0,31,Approved
38,Hong Kong,Master,3,8.1,42103,2,9,Work,Employment,Married,1,0,1,1,62,Rejected
55,Sweden,Master,11,6.5,63386,2,2,Family,Family Reunion,Divorced,0,1,0,1,49,Approved
39,Canada,High School,0,6.5,27431,2,4,Business,Business,Divorced,2,1,0,1,48,Rejected
60,Jordan,Master,17,7.7,73418,1,7,Tourist,Tourism,Single,0,1,0,0,13,Approved
66,Germany,Master,12,8.4,70908,1,3,Tourist,Tourism,Married,2,1,0,0,35,Approved
42,Switzerland,Bachelor,6,7.2,38062,3,8,Student,Education,Single,0,1,0,1,48,Approved
65,Taiwan,Master,13,7.4,44627,2,9,Family,Family Reunion,Married,1,1,0,1,50,Approved
43,Tanzania,High School,3,5.1,17583,1,6,Business,Business,Married,1,1,1,0,59,Approved
64,Hungary,Bachelor,7,7.8,49768,2,4,Work,Employment,Married,2,1,1,1,90,Rejected
63,Peru,Bachelor,11,7.6,55903,1,6,Work,Employment,Single,0,1,1,1,30,Approved
55,Vietnam,High School,3,6.9,19119,3,10,Work,Employment,Single,0,1,1,1,25,Approved
45,Norway,Bachelor,3,6.4,31349,3,4,Work,Employment,Single,0,0,1,0,89,Rejected
45,Netherlands,Master,7,8.1,59583,2,8,Work,Employment,Single,0,1,1,1,51,Approved
39,Turkey,Bachelor,11,7.6,41902,1,7,Work,Employment,Married,3,1,0,1,40,Approved
35,Rwanda,Bachelor,2,7.3,51480,2,3,Work,Employment,Married,3,0,1,1,26,Approved
54,Philippines,Master,15,7.8,86151,0,4,Tourist,Tourism,Married,1,1,0,0,18,Approved
20,Ukraine,Master,2,7.6,103293,0,5,Student,Education,Married,2,1,0,1,46,Approved
69,France,Bachelor,3,6.5,31669,3,12,Tourist,Tourism,Married,0,1,0,0,19,Approved
30,Thailand,Bachelor,2,6.1,31949,2,8,Work,Employment,Single,0,1,1,1,54,Rejected
56,Turkey,Master,19,6.8,70676,4,10,Tourist,Tourism,Single,0,1,0,0,62,Approved
40,Greece,Bachelor,8,7.7,39456,3,5,Tourist,Tourism,Divorced,2,1,0,0,84,Rejected
25,Tanzania,PhD,5,8.5,112265,2,8,Work,Employment,Married,0,1,1,0,85,Rejected
39,Denmark,Bachelor,2,7.0,45832,0,2,Student,Education,Married,0,1,0,0,51,Rejected
